Date,Units,NAV,Amount
01-11-2025,95.37,104.85,10000.0
05-11-2025,771.653,103.67,80000.0
11-12-2025,286.631,104.659,30000.0
01-01-2026,188.444,106.1272,20000.0
01-02-2026,98.765,101.2456,10000.0
05-03-2026,296.597,101.1422,30000.0
10-04-2026,303.357,98.8886,30000.0
25-05-2026,100.191,99.80,10000.00
02-06-2026,102.582,97.48,10000.00
15-07-2026,74.237,101.02,7500.00
